2024-06-18 19:23:45, CPU Usage: 0.8%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15325094, Bytes Received: 137628712
2024-06-18 19:23:46, CPU Usage: 1.3%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15325264, Bytes Received: 137628862
2024-06-18 19:23:47, CPU Usage: 0.6%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15325434, Bytes Received: 137628862
2024-06-18 19:23:48, CPU Usage: 7.5%, Memory Usage: 36.6%, Disk Usage: 38.5%, Bytes Sent: 15325434, Bytes Received: 137628862
2024-06-18 19:23:49, CPU Usage: 2.7%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15325774, Bytes Received: 137629012
2024-06-18 19:37:00, CPU Usage: 15.3%, Memory Usage: 35.9%, Disk Usage: 38.5%, Bytes Sent: 15794253, Bytes Received: 140134088
2024-06-18 19:37:05, CPU Usage: 0.9%, Memory Usage: 35.8%, Disk Usage: 38.5%, Bytes Sent: 15798392, Bytes Received: 140139985
2024-06-18 19:37:10, CPU Usage: 0.6%, Memory Usage: 35.6%, Disk Usage: 38.5%, Bytes Sent: 15799106, Bytes Received: 140140285
2024-06-18 19:37:15, CPU Usage: 16.0%, Memory Usage: 38.0%, Disk Usage: 38.5%, Bytes Sent: 15799446, Bytes Received: 140140435
2024-06-18 19:37:20, CPU Usage: 5.2%, Memory Usage: 35.9%, Disk Usage: 38.5%, Bytes Sent: 15800222, Bytes Received: 140140791
2024-06-18 19:37:25, CPU Usage: 7.7%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 15801017, Bytes Received: 140141248
2024-06-18 19:37:30, CPU Usage: 5.6%, Memory Usage: 35.4%, Disk Usage: 38.5%, Bytes Sent: 15801391, Bytes Received: 140141398
2024-06-18 19:37:35, CPU Usage: 0.6%, Memory Usage: 35.4%, Disk Usage: 38.5%, Bytes Sent: 15802071, Bytes Received: 140141698
2024-06-18 19:39:31, CPU Usage: 22.4%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16018765, Bytes Received: 141786285
2024-06-18 19:39:32, CPU Usage: 9.3%, Memory Usage: 35.6%, Disk Usage: 38.5%, Bytes Sent: 16018765, Bytes Received: 141786285
2024-06-18 19:39:33, CPU Usage: 1.5%, Memory Usage: 35.6%, Disk Usage: 38.5%, Bytes Sent: 16018765, Bytes Received: 141786435
2024-06-18 19:39:34, CPU Usage: 2.1%, Memory Usage: 35.6%, Disk Usage: 38.5%, Bytes Sent: 16019105, Bytes Received: 141786435
2024-06-18 19:39:35, CPU Usage: 1.8%, Memory Usage: 35.6%, Disk Usage: 38.5%, Bytes Sent: 16019105, Bytes Received: 141786435
2024-06-18 19:39:36, CPU Usage: 1.2%, Memory Usage: 35.6%, Disk Usage: 38.5%, Bytes Sent: 16019275, Bytes Received: 141786585
2024-06-18 19:39:37, CPU Usage: 1.0%, Memory Usage: 35.6%, Disk Usage: 38.5%, Bytes Sent: 16019445, Bytes Received: 141786585
2024-06-18 19:41:28, CPU Usage: 1.2%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16049585, Bytes Received: 141808427
2024-06-18 19:41:29, CPU Usage: 1.1%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16049585, Bytes Received: 141808427
2024-06-18 19:41:30, CPU Usage: 0.5%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16049875, Bytes Received: 141808697
2024-06-18 19:41:31, CPU Usage: 0.6%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16050079, Bytes Received: 141808847
2024-06-18 19:41:32, CPU Usage: 0.5%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16050249, Bytes Received: 141808847
2024-06-18 19:41:33, CPU Usage: 0.3%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16050249, Bytes Received: 141808847
2024-06-18 19:41:34, CPU Usage: 0.7%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16050419, Bytes Received: 141808997
2024-06-18 19:41:35, CPU Usage: 9.6%, Memory Usage: 35.7%, Disk Usage: 38.5%, Bytes Sent: 16050589, Bytes Received: 141808997
2024-06-18 19:41:36, CPU Usage: 10.2%, Memory Usage: 35.5%, Disk Usage: 38.5%, Bytes Sent: 16050589, Bytes Received: 141808997
2024-06-18 19:41:37, CPU Usage: 13.4%, Memory Usage: 35.2%, Disk Usage: 38.5%, Bytes Sent: 16050759, Bytes Received: 141809147
2024-06-18 19:41:38, CPU Usage: 1.9%, Memory Usage: 35.2%, Disk Usage: 38.5%, Bytes Sent: 16050929, Bytes Received: 141809359
